,protocol,run config,container,handshakes,padding size,KEM public key size,KEM ciphertext size,OKEM ciphertext size,mark size,mac size,auth size,replicate
0,drivel,L5d,client,1,0,1568,1568,208,16,16,32,1
1,drivel,L5d,bridge,1,0,1568,1568,208,16,16,32,1
2,drivel,L1d,client,1,0,800,768,96,16,16,32,1
3,drivel,L1d,bridge,1,0,800,768,96,16,16,32,1
4,drivel,L0,client,1,45,32,32,32,16,16,32,1
5,drivel,L0,bridge,1,0,32,32,32,16,16,32,1
6,drivel,L3c,client,1,0,1184,1088,8978,16,16,32,1
7,drivel,L3c,bridge,1,0,1184,1088,8978,16,16,32,1
8,drivel,L1a,client,1,0,800,768,1140,16,16,32,1
9,drivel,L1a,bridge,1,0,800,768,1140,16,16,32,1
10,drivel,L3d,client,1,0,1184,1088,156,16,16,32,1
11,drivel,L3d,bridge,1,0,1184,1088,156,16,16,32,1
12,drivel,L3b,client,1,0,3083,3115,1522,16,16,32,1
13,drivel,L3b,bridge,1,0,3083,3115,1522,16,16,32,1
14,obfs4,,client,1,77,32,32,0,16,16,32,1
15,obfs4,,bridge,1,0,32,32,0,16,16,32,1
16,drivel,L1b,client,1,0,1541,1573,1140,16,16,32,1
17,drivel,L1b,bridge,1,0,1541,1573,1140,16,16,32,1
18,drivel,L5b,client,1,0,5122,5154,1905,16,16,32,1
19,drivel,L5b,bridge,1,0,5122,5154,1905,16,16,32,1
20,drivel,L5c,client,1,0,1568,1568,14421,16,16,32,1
21,drivel,L5c,bridge,1,0,1568,1568,14421,16,16,32,1
22,drivel,L1c,client,1,0,800,768,4433,16,16,32,1
23,drivel,L1c,bridge,1,0,800,768,4433,16,16,32,1
24,drivel,L5a,client,1,0,1568,1568,1905,16,16,32,1
25,drivel,L5a,bridge,1,0,1568,1568,1905,16,16,32,1
26,drivel,L3a,client,1,0,1184,1088,1522,16,16,32,1
27,drivel,L3a,bridge,1,0,1184,1088,1522,16,16,32,1
