,protocol,run config,type,peer,timestamp,direction,TCP payload size,key exchange size,replicate
0,drivel,L5d,handshake,bridge,1749391334.177849,upstream,1808,1808,1
1,drivel,L5d,handshake,bridge,1749391334.185113,downstream,1677,1632,1
2,drivel,L5d,data,bridge,1749391334.191026,upstream,1138,,1
3,drivel,L5d,data,bridge,1749391334.192960,downstream,1672,,1
4,drivel,L5d,data,bridge,1749391334.192991,upstream,0,,1
5,drivel,L5d,data,bridge,1749391334.194325,upstream,701,,1
6,drivel,L5d,data,bridge,1749391334.194685,downstream,701,,1
7,drivel,L5d,data,bridge,1749391334.194846,upstream,1375,,1
8,drivel,L5d,data,bridge,1749391334.195033,downstream,1328,,1
9,drivel,L5d,data,bridge,1749391334.244664,upstream,0,,1
10,drivel,L5d,data,bridge,1749391334.244796,downstream,3245,,1
11,drivel,L5d,data,bridge,1749391334.244826,upstream,0,,1
12,drivel,L5d,data,bridge,1749391334.246239,upstream,2005,,1
13,drivel,L5d,data,bridge,1749391334.246330,downstream,0,,1
14,drivel,L5d,data,bridge,1749391334.247150,downstream,2080,,1
15,drivel,L5d,data,bridge,1749391334.247253,upstream,0,,1
16,drivel,L5d,data,bridge,1749391334.255647,upstream,2005,,1
17,drivel,L5d,data,bridge,1749391334.255791,downstream,0,,1
18,drivel,L5d,data,bridge,1749391334.256339,downstream,1448,,1
19,drivel,L5d,data,bridge,1749391334.304641,upstream,0,,1
20,drivel,L5d,data,bridge,1749391334.304755,downstream,1566,,1
21,drivel,L5d,data,bridge,1749391334.304781,upstream,0,,1
22,drivel,L5d,data,bridge,1749391334.426742,downstream,632,,1
23,drivel,L5d,data,bridge,1749391334.426748,upstream,0,,1
24,drivel,L5d,data,bridge,1749391334.427345,upstream,1499,,1
25,drivel,L5d,data,bridge,1749391334.427381,downstream,0,,1
26,drivel,L5d,data,bridge,1749391334.489404,downstream,1646,,1
27,drivel,L5d,data,bridge,1749391334.489500,upstream,0,,1
28,drivel,L5d,data,bridge,1749391335.138097,upstream,2011,,1
29,drivel,L5d,data,bridge,1749391335.138234,downstream,0,,1
30,drivel,L5d,data,bridge,1749391335.138699,downstream,1281,,1
31,drivel,L5d,data,bridge,1749391335.145651,upstream,646,,1
32,drivel,L5d,data,bridge,1749391335.145711,downstream,871,,1
33,drivel,L5d,data,bridge,1749391335.154703,upstream,1566,,1
34,drivel,L5d,data,bridge,1749391335.154741,downstream,0,,1
35,drivel,L5d,data,bridge,1749391335.155229,downstream,1375,,1
36,drivel,L5d,data,bridge,1749391335.204708,upstream,0,,1
37,drivel,L5d,data,bridge,1749391335.339575,downstream,1566,,1
38,drivel,L5d,data,bridge,1749391335.339603,upstream,0,,1
39,drivel,L5d,data,bridge,1749391335.340144,upstream,1219,,1
40,drivel,L5d,data,bridge,1749391335.384934,downstream,0,,1
41,drivel,L5d,data,bridge,1749391335.397448,downstream,1386,,1
42,drivel,L5d,data,bridge,1749391335.444929,upstream,0,,1
43,drivel,L5d,data,bridge,1749391336.153655,upstream,1646,,1
44,drivel,L5d,data,bridge,1749391336.153759,downstream,0,,1
45,drivel,L5d,data,bridge,1749391336.155487,downstream,1437,,1
46,drivel,L5d,data,bridge,1749391336.155495,upstream,0,,1
47,drivel,L5d,data,bridge,1749391336.156547,upstream,1382,,1
48,drivel,L5d,data,bridge,1749391336.204668,downstream,0,,1
49,drivel,L5d,data,bridge,1749391336.337125,downstream,781,,1
50,drivel,L5d,data,bridge,1749391336.339283,upstream,646,,1
51,drivel,L5d,data,bridge,1749391336.339453,downstream,0,,1
52,drivel,L5d,data,bridge,1749391336.395365,downstream,557,,1
53,drivel,L5d,data,bridge,1749391336.444868,upstream,0,,1
54,drivel,L5d,data,bridge,1749391337.149314,upstream,1386,,1
55,drivel,L5d,data,bridge,1749391337.149423,downstream,0,,1
56,drivel,L5d,data,bridge,1749391337.151079,downstream,1328,,1
57,drivel,L5d,data,bridge,1749391337.151088,upstream,0,,1
58,drivel,L5d,data,bridge,1749391337.152192,upstream,1836,,1
59,drivel,L5d,data,bridge,1749391337.152433,downstream,0,,1
60,drivel,L5d,data,bridge,1749391337.153123,downstream,730,,1
61,drivel,L5d,data,bridge,1749391337.194648,upstream,0,,1
62,drivel,L5d,data,bridge,1749391337.820227,upstream,1836,,1
63,drivel,L5d,data,bridge,1749391337.820382,downstream,0,,1
64,drivel,L5d,data,bridge,1749391337.863355,downstream,1059,,1
65,drivel,L5d,data,bridge,1749391337.863389,upstream,0,,1
66,drivel,L5d,data,bridge,1749391337.866383,upstream,2005,,1
67,drivel,L5d,data,bridge,1749391337.866511,downstream,0,,1
68,drivel,L5d,data,bridge,1749391337.908938,downstream,2896,,1
69,drivel,L5d,data,bridge,1749391337.908979,downstream,1382,,1
70,drivel,L5d,data,bridge,1749391337.909024,upstream,0,,1
71,drivel,L5d,data,bridge,1749391337.911070,upstream,1566,,1
72,drivel,L5d,data,bridge,1749391337.911117,downstream,0,,1
73,drivel,L5d,data,bridge,1749391337.957094,downstream,1566,,1
74,drivel,L5d,data,bridge,1749391337.957121,upstream,0,,1
75,drivel,L5d,data,bridge,1749391337.957278,upstream,1437,,1
76,drivel,L5d,data,bridge,1749391338.004989,downstream,0,,1
77,drivel,L5d,data,bridge,1749391338.005143,upstream,1865,,1
78,drivel,L5d,data,bridge,1749391338.005187,downstream,0,,1
79,drivel,L5d,data,bridge,1749391338.015453,downstream,1279,,1
80,drivel,L5d,data,bridge,1749391338.074882,upstream,0,,1
81,drivel,L5d,data,bridge,1749391338.093682,downstream,1836,,1
82,drivel,L5d,data,bridge,1749391338.093715,upstream,0,,1
83,drivel,L5d,data,bridge,1749391338.140994,upstream,557,,1
84,drivel,L5d,data,bridge,1749391338.141860,downstream,627,,1
85,drivel,L5d,data,bridge,1749391338.141866,upstream,0,,1
86,drivel,L5d,data,bridge,1749391338.145020,upstream,1837,,1
87,drivel,L5d,data,bridge,1749391338.145173,downstream,0,,1
88,drivel,L5d,data,bridge,1749391338.169850,downstream,557,,1
89,drivel,L5d,data,bridge,1749391338.171619,upstream,1566,,1
90,drivel,L5d,data,bridge,1749391338.171730,downstream,0,,1
91,drivel,L5d,data,bridge,1749391338.432565,downstream,704,,1
92,drivel,L5d,data,bridge,1749391338.434038,upstream,1062,,1
93,drivel,L5d,data,bridge,1749391338.474723,downstream,0,,1
94,drivel,L5d,data,bridge,1749391338.607041,downstream,1279,,1
95,drivel,L5d,data,bridge,1749391338.654892,upstream,0,,1
96,drivel,L5d,data,bridge,1749391339.135523,upstream,730,,1
97,drivel,L5d,data,bridge,1749391339.135574,downstream,0,,1
98,drivel,L5d,data,bridge,1749391339.136416,downstream,2032,,1
99,drivel,L5d,data,bridge,1749391339.136420,upstream,0,,1
100,drivel,L5d,data,bridge,1749391339.145995,upstream,1672,,1
101,drivel,L5d,data,bridge,1749391339.146053,downstream,0,,1
102,drivel,L5d,data,bridge,1749391339.369755,downstream,1279,,1
103,drivel,L5d,data,bridge,1749391339.370353,upstream,1375,,1
104,drivel,L5d,data,bridge,1749391339.414845,downstream,0,,1
105,drivel,L5d,data,bridge,1749391339.458838,downstream,1279,,1
106,drivel,L5d,data,bridge,1749391339.504861,upstream,0,,1
107,drivel,L5d,data,bridge,1749391340.141017,upstream,701,,1
108,drivel,L5d,data,bridge,1749391340.141087,downstream,0,,1
109,drivel,L5d,data,bridge,1749391340.142198,downstream,1059,,1
110,drivel,L5d,data,bridge,1749391340.142203,upstream,0,,1
111,drivel,L5d,data,bridge,1749391340.145529,upstream,1865,,1
112,drivel,L5d,data,bridge,1749391340.145742,downstream,0,,1
