op,25% cycles,50% cycles,75% cycles,supercop name,system,algorithm,MHz,25% ms per op,50% ms per op,75% ms per op
KeyGen,23119,23202,23419,kyber512,Skylake,ML-KEM-512,3000,0.007706333,0.007734,0.007806333
KeyGen,39650,39841,40104,kyber768,Skylake,ML-KEM-768,3000,0.013216667,0.013280333,0.013368
KeyGen,54769,55025,55449,kyber1024,Skylake,ML-KEM-1024,3000,0.018256333,0.018341667,0.018483
KeyGen,87821,87937,88434,hqc128round4,Skylake,HQC-128,3000,0.029273667,0.029312333,0.029478
KeyGen,202791,202900,203374,hqc192round4,Skylake,HQC-192,3000,0.067597,0.067633333,0.067791333
KeyGen,406708,407565,414050,hqc256round4,Skylake,HQC-256,3000,0.135569333,0.135855,0.138016667
KeyGen,1429338,1430300,1431376,frodokem640aes,Skylake,FrodoKEM-640-AES,3000,0.476446,0.476766667,0.477125333
KeyGen,2954586,2961916,2971511,frodokem976aes,Skylake,FrodoKEM-976-AES,3000,0.984862,0.987305333,0.990503667
KeyGen,3872246,3873653,3875543,frodokem640shake,Skylake,FrodoKEM-640-SHAKE,3000,1.290748667,1.291217667,1.291847667
KeyGen,4986488,4998114,5010029,frodokem1344aes,Skylake,FrodoKEM-1344-AES,3000,1.662162667,1.666038,1.670009667
KeyGen,8327114,8333147,8337306,frodokem976shake,Skylake,FrodoKEM-976-SHAKE,3000,2.775704667,2.777715667,2.779102
KeyGen,14650636,14663304,14675432,frodokem1344shake,Skylake,FrodoKEM-1344-SHAKE,3000,4.883545333,4.887768,4.891810667
KeyGen,31194749,31313794,31355288,mceliece348864f,Skylake,Classic-McEliece-348864f,3000,10.39824967,10.43793133,10.45176267
KeyGen,30812065,40994180,71274712,mceliece348864,Skylake,Classic-McEliece-348864,3000,10.27068833,13.66472667,23.75823733
KeyGen,100333377,100568103,101728960,mceliece460896f,Skylake,Classic-McEliece-460896f,3000,33.444459,33.522701,33.90965333
KeyGen,101271532,133693804,227990458,mceliece460896,Skylake,Classic-McEliece-460896,3000,33.75717733,44.56460133,75.99681933
KeyGen,195447768,196641231,197200810,mceliece6960119f,Skylake,Classic-McEliece-6960119f,3000,65.149256,65.547077,65.73360333
KeyGen,236436287,237294421,238103379,mceliece6688128f,Skylake,Classic-McEliece-6688128f,3000,78.81209567,79.09814033,79.367793
KeyGen,250478695,251034415,252481442,mceliece8192128f,Skylake,Classic-McEliece-8192128f,3000,83.49289833,83.67813833,84.16048067
KeyGen,197559528,258033054,377514413,mceliece6960119,Skylake,Classic-McEliece-6960119,3000,65.853176,86.011018,125.8381377
KeyGen,239093145,310928068,520875803,mceliece6688128,Skylake,Classic-McEliece-6688128,3000,79.697715,103.6426893,173.6252677
KeyGen,320373659,334287787,476356374,mceliece8192128,Skylake,Classic-McEliece-8192128,3000,106.7912197,111.4292623,158.785458
Encaps,29385,30340,32065,mceliece348864,Skylake,Classic-McEliece-348864,3000,0.009795,0.010113333,0.010688333
Encaps,29724,30764,32883,mceliece348864f,Skylake,Classic-McEliece-348864f,3000,0.009908,0.010254667,0.010961
Encaps,35924,36024,36105,kyber512,Skylake,ML-KEM-512,3000,0.011974667,0.012008,0.012035
Encaps,53048,53100,53167,kyber768,Skylake,ML-KEM-768,3000,0.017682667,0.0177,0.017722333
Encaps,62686,68592,79594,mceliece460896f,Skylake,Classic-McEliece-460896f,3000,0.020895333,0.022864,0.026531333
Encaps,64650,70606,79339,mceliece460896,Skylake,Classic-McEliece-460896,3000,0.02155,0.023535333,0.026446333
Encaps,73950,75777,76030,kyber1024,Skylake,ML-KEM-1024,3000,0.02465,0.025259,0.025343333
Encaps,105263,109428,118205,mceliece6688128,Skylake,Classic-McEliece-6688128,3000,0.035087667,0.036476,0.039401667
Encaps,105424,110690,119343,mceliece6688128f,Skylake,Classic-McEliece-6688128f,3000,0.035141333,0.036896667,0.039781
Encaps,112694,116576,122898,mceliece6960119f,Skylake,Classic-McEliece-6960119f,3000,0.037564667,0.038858667,0.040966
Encaps,115391,118514,122966,mceliece6960119,Skylake,Classic-McEliece-6960119,3000,0.038463667,0.039504667,0.040988667
Encaps,120180,121681,123454,mceliece8192128,Skylake,Classic-McEliece-8192128,3000,0.04006,0.040560333,0.041151333
Encaps,121235,122518,124327,mceliece8192128f,Skylake,Classic-McEliece-8192128f,3000,0.040411667,0.040839333,0.041442333
Encaps,226386,226594,226815,hqc128round4,Skylake,HQC-128,3000,0.075462,0.075531333,0.075605
Encaps,510689,511251,511569,hqc192round4,Skylake,HQC-192,3000,0.170229667,0.170417,0.170523
Encaps,957859,958977,959737,hqc256round4,Skylake,HQC-256,3000,0.319286333,0.319659,0.319912333
Encaps,1850743,1852668,1854991,frodokem640aes,Skylake,FrodoKEM-640-AES,3000,0.616914333,0.617556,0.618330333
Encaps,3663478,3665516,3695564,frodokem976aes,Skylake,FrodoKEM-976-AES,3000,1.221159333,1.221838667,1.231854667
Encaps,4190200,4194616,4212312,frodokem640shake,Skylake,FrodoKEM-640-SHAKE,3000,1.396733333,1.398205333,1.404104
Encaps,5903952,5910248,5915864,frodokem1344aes,Skylake,FrodoKEM-1344-AES,3000,1.967984,1.970082667,1.971954667
Encaps,9031667,9036634,9041370,frodokem976shake,Skylake,FrodoKEM-976-SHAKE,3000,3.010555667,3.012211333,3.01379
Encaps,15497777,15509655,15522110,frodokem1344shake,Skylake,FrodoKEM-1344-SHAKE,3000,5.165925667,5.169885,5.174036667
Decaps,27819,27909,27989,kyber512,Skylake,ML-KEM-512,3000,0.009273,0.009303,0.009329667
Decaps,42171,42330,42459,kyber768,Skylake,ML-KEM-768,3000,0.014057,0.01411,0.014153
Decaps,60833,61834,61914,kyber1024,Skylake,ML-KEM-1024,3000,0.020277667,0.020611333,0.020638
Decaps,117755,117932,118217,mceliece348864,Skylake,Classic-McEliece-348864,3000,0.039251667,0.039310667,0.039405667
Decaps,118009,118133,118318,mceliece348864f,Skylake,Classic-McEliece-348864f,3000,0.039336333,0.039377667,0.039439333
Decaps,242910,243080,243473,mceliece460896,Skylake,Classic-McEliece-460896,3000,0.08097,0.081026667,0.081157667
